date,type
1901-03-30,HoR and Senate
1903-12-16,
1906-12-12,
1910-04-13,
1913-05-31,
1914-09-05,DD
1917-05-05,
1919-12-13,
1922-12-16,
1925-11-14,
1928-11-17,
1929-10-12,HoR
1931-12-19,
1934-09-15,
1937-10-23,
1940-09-21,
1943-08-21,
1946-09-28,
1949-12-10,
1951-04-28,DD
1953-05-09,Half-Senate
1954-05-29,HoR
1955-12-10,
1958-11-22,
1961-12-09,
1963-11-30,HoR
1964-12-05,Half-Senate
1966-11-26,HoR
1967-11-25,Half-Senate
1969-10-26,HoR
1970-11-21,Half-Senate
1972-12-02,HoR
1974-05-18,DD
1975-12-13,DD
1977-12-10,
1980-10-18,
1983-03-05,DD
1984-12-01,
1987-07-11,DD
1990-03-24,
1993-03-13,
1996-03-02,
1998-10-03,
2001-11-10,
2004-10-09,
2007-11-24,
2010-08-21,
2013-09-07,
2014-04-05,Half-Senate (WA only)
2016-07-02,DD
