start_date,end_date
1900-07-01,1903-06-30
1903-07-01,1906-06-30
1906-07-01,1909-06-30
1909-07-01,1912-06-30
1912-07-01,1914-07-30
1914-07-01,1917-06-30
1917-07-01,1920-06-30
1920-07-01,1923-06-30
1923-07-01,1926-06-30
1926-07-01,1929-06-30
1929-07-01,1932-06-30
1932-07-01,1935-06-30
1935-07-01,1938-06-30
1938-07-01,1941-06-30
1941-07-01,1944-06-30
1944-07-01,1947-06-30
1947-07-01,1950-06-30
1950-07-01,1951-03-19
1950-07-01,1953-06-30
1953-07-01,1956-06-30
1956-07-01,1959-06-30
1959-07-01,1962-06-30
1962-07-01,1965-06-30
1965-07-01,1968-06-30
1968-07-01,1971-06-30
1971-07-01,1974-04-11
1973-07-01,1975-11-11
1975-07-01,1978-06-30
1978-07-01,1981-06-30
1981-07-01,1983-02-04
1982-07-01,1985-06-30
1985-07-01,1987-06-05
1986-07-01,1989-06-30
1989-07-01,1992-06-30
1992-07-01,1995-06-30
1995-07-01,1998-06-30
1998-07-01,2001-06-30
2001-07-01,2004-06-30
2004-07-01,2007-06-30
2007-07-01,2010-06-30
2010-07-01,2013-06-30
2013-07-01,2016-05-09
2015-07-01,2018-06-30
2018-07-01,2021-06-30
