name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Arbib, M.V.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Bilyk, C.L.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Bishop, T.M.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Brown, B.J.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Brown, C.L.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Cameron, D.N.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Collins, J.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Conroy, S.M.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Crossin, P.M.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Evans, C.V.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Farrell, D.E. *",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Faulkner, J.P.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Feeney, D.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Fielding, S.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Furner, M.L.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Hanson-Young, S.C.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Hogg, J.J.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Hurley, A.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Hutchins, S.P.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
"Ludlam, S.",aye,Reference,Privileges Committee,2009-08-12,SENATE,Committees,20,1,0
