name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Abbott, A.J.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Alexander, J.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Andrews, K.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Andrews, K.J.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Baldwin, R.C.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Billson, B.F.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Bishop, B.K.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Bishop, J.I.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Briggs, J.E.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Buchholz, S.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Chester, D.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Christensen, G.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Ciobo, S.M.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Cobb, J.K.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Coulton, M. *",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Crook, T.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Dutton, P.C.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Entsch, W.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Fletcher, P.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Forrest, J.A.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Frydenberg, J.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Gambaro, T.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Gash, J.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Griggs, N.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Haase, B.W.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Hartsuyker, L.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Hawke, A.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Hockey, J.B.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
"Hunt, G.A.",aye,Youth Allowance,PRIVATE MEMBERS’ BUSINESS,2010-10-28,REPS,Private Members' Business,5,1,0
