name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Albanese, AN",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Aly, A",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Bandt, AP",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Bird, SL",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Bowen, CE",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Brodtmann, G",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Burney, LJ",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Butler, MC",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Butler, TM",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Chalmers, JE",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Champion, ND",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Chesters, LM",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Clare, JD",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Claydon, SC",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Conroy, PM",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Danby, M",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Dick, MD",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Dreyfus, MA",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Elliot, MJ",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Fitzgibbon, JA",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Freelander, MR",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Georganas, S",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Giles, AJ",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Gosling, LJ",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Hart, RA",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Hayes, CP",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Hill, JC",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Husar, E",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Husic, EN",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
"Jones, SP",aye,Australian Broadcasting Corporation,MOTIONS,2018-06-18,HoR,MOTIONS,8,1,0
