name,party,date,text,chamber,debate_title,subdebate_title,debate_type,debate_id,subdebate_id,type
The PRESIDENT,N/A,1999-02-18,"—I remind honourable senators that the address-in-reply will be presented to the Governor-General at Government House today at 6 p.m. For this purpose, the Senate will stand adjourned without debate at 5.40 p.m. Cars will be available at the Senate entrance at 5.40 p.m. for the purpose of taking senators to Government House.",SENATE,<title>GOVERNOR-GENERAL'S SPEECH</title>,<title>Address-in-Reply</title>,Governor-General's Speech,0,1,speech
"Brown, Sen Bob",AG,1999-02-18,"—Pursuant to contingent notice, I move:
That so much of the standing orders be suspended as would prevent him moving a motion relating to the conduct of the business of the Senate, namely a motion to give precedence to general business notice of motion no. 122.
The Regional Forest Agreement debate in Western Australia has galvanised public attention. Amongst the major parties, the National Party has recognised that the current regional forest process is not going to resolve the conflict, and it has made an earnest effort to look at how the conflict may be resolved. It is unusual for me as a Green to be moving to support that earnest effort from the Nationals. But let us give credit where it is due, and here it is due to the Nationals. I quote from the Nationals' press release of Thursday, 11 January, in which the state director, Jamie Kronborg says:
We believe that at least three major steps must be taken as a matter of urgency to help resolve the conflict over logging. These include the rapid phasing out of clear felling in old-growth forests.
The press release goes on to look at the way in which old-growth forest logging is no longer the major source of wood products in Western Australia, and how there is an alternative to the continuing destruction of the karri, jarrah and marri forests in Western Australia, which is better from an economic, employment and environmental point of view.
 The reason we must change the direction of the major parties, as the Nationals have done in Western Australia, is because the public demands it. There is so little of the grand forests of this nation left. There is an enormous groundswell of feeling that that little should be protected. The reason is that the public at large recognises that it is unnecessary to keep the destruction going, that the plantation and regrowth alternatives are there and are available now—not only for this industry to maintain its diversity of wood products for the Australian market but also for export and with downstream processing to increase the jobs provided in the logging industry. 
 Moreover, the real jobs in ancient forests these days are from the presentation of those forests to visitors in the recreation and tourism industries. Western Australia is no different from Tasmania where, these days, more jobs are actually created by keeping the trees intact with their wildlife than by felling the trees to the ground. I see some Labor members laughing about that, but they are the ones who always espouse jobs, jobs, jobs, while the big woodchip corporations mechanise, conglomerate and shed jobs—the jobs of their union members. It is not they who often sit outside the woodchip offices complaining about this, it is very often the Greens. But when the Nationals do their homework and come to the same conclusion, they should be congratulated and they should be supported.
 There is some prospect that Western Australia will be the state which, through public impulse, through the sheer pressure of public outrage about the destruction of forests, may turn around this head-in-the-sand attitude of the Howard government and several other state governments who say, `Whatever the woodchip corporations say, that is the line we will take.' This is an urgent matter. There is a positive resolution. When the Nationals in Western Australia come up with the road to that positive resolution, they deserve the support of this place.",SENATE,<title>REGIONAL FOREST AGREEMENTS</title>,<title>Suspension of Standing Orders</title>,Miscellaneous,5,1,speech
"O'Brien, Sen Kerry",ALP,1999-02-18,"—We have heard a debate on the motion but we have not heard a debate on why standing orders should be suspended, why this motion is urgent and why it could not be dealt with in the ordinary course of events. The fact is that this matter—notice of which was given yesterday—was dealt with last night at the whips meeting. At that time we indicated that we were unhappy with the matter proceeding and that we would deny formality.
However, we were prepared to entertain any approaches as to a rewording of the motion. No such approaches have been forthcoming. This motion is simplistic. It deals with an issue which has not just Western Australian but also national ramifications. If the matter is to be dealt with, it should be dealt with in a fulsome debate. It should be dealt with so 
 that all parties have an opportunity to move amendments that they consider appropriate, rather than simply deal with the motion by granting formality and voting for or against it. That would not necessarily reflect the views of the Labor Party, for example, on the range of issues which underlie this motion.
So we believe, firstly, that the matter is not urgent. Secondly, it is important that if this motion is to be debated it should be debated when there is an opportunity to give the matter the attention that it deserves and to deal with the full range of issues that lies behind it.",SENATE,<title>REGIONAL FOREST AGREEMENTS</title>,<title>Suspension of Standing Orders</title>,Miscellaneous,5,1,speech
"Campbell, Sen Ian",LP,1999-02-18,"—The government will be opposing the motion for the suspension of standing orders. Senator Brown has not made out a case as to why the very limited time available to the Senate to debate matters should be used in this way. We had a debate on the RFA only yesterday afternoon. We will have a debate on RFA legislation in the next couple of sitting days, unless Senator Brown's tactics can delay that as well.
Senator Brown wants us to suspend standing orders so that the motion relating to the support for the WA National Party's stance on clear-felling in old-growth forests can be debated. I know that the Leader of the National Party and Western Australian Deputy Premier Hendy Cowan would be very pleased to have the support of Senator Bob Brown from Tasmania for the policy, but I am sure that the most successful deputy premier in many years of Western Australia's history can probably wait a few more days to have that support reaffirmed.
Senator Brown in his discussions talked about the overwhelming upsurge of support for stopping logging in old-growth forests that is occurring, mostly from extremely wealthy, well-heeled people living in the leafy western suburbs of Perth, who I guess would love to have the support of Senator Bob Brown in this and, I guess, many of his other economic policies. Most of them live in houses that have had their floors and their roofs chopped 
 out of old-growth forests. They are really saying to the rest of the home buyers in Western Australia: `We have our houses in Peppermint Grove and Dalkeith, but you can't have yours in the northern suburbs.'",SENATE,<title>REGIONAL FOREST AGREEMENTS</title>,<title>Suspension of Standing Orders</title>,Miscellaneous,5,1,speech
"Bartlett, Sen Andrew",AD,1999-02-18,"—In relation to this motion and the question before the chamber of its urgency and the need to suspend standing orders to be able to debate it and vote on it, from the Democrats' point of view it is clearly a motion that deserves the support of the chamber. Senator O'Brien said that it is a simplistic motion. It is not simplistic; it is simple. It is very simple, it is very straightforward, it is very clear and it is very positive. For that reason it is probably unfortunate that formality was denied on the issue.
The Democrats believe that the issue of forests is an important one, as was indicated in the debate yesterday, that needs to be brought to the attention of the Australian public. It is good to see WA leading the way in highlighting public awareness about the threat to our native forests. We are always keen to encourage and express support for state governments when they are doing the right thing, when they are highlighting threats to our environment in particular, and especially when it comes from parties such as the National Party. It is a bit of a surprise that National Party colleagues are not in here at the moment to assist in congratulating their colleague. I am sure they all do that privately but it would be a great opportunity for them to express it publicly.
So the Democrats, without wanting to take up an excessive amount of time in the chamber—because we do recognise that there are a lot of other important matters, which is why it is unfortunate that formality was denied—believe that it is an important matter on a number of levels. The overall issue of the protection of our forests in Western Australia and elsewhere is one that the Senate and the parliament should express support for as often as possible in the Democrats' view. For that reason we support the motion.",SENATE,<title>REGIONAL FOREST AGREEMENTS</title>,<title>Suspension of Standing Orders</title>,Miscellaneous,5,1,speech
"Margetts, Sen Dee",G(WA),1999-02-18,"—This is urgent, as anyone in Western Australia would know. The issue is 
 urgent because at the moment the proposed RFA in Western Australia is still not presented and at the same time the Department of Conservation and Land Management are cutting down as much contentious old-growth forest as they can. There are very few people who know the situation in Western Australia who would not fully agree that the situation is urgent.
There are very few issues I have seen take up the entire coalition conference in Western Australia, the issue having generated such huge controversy. The coalition in Western Australia considered it so urgent that almost nothing else got a guernsey at their state conference. They certainly believe it is urgent. Perhaps Senator O'Brien was not aware of the fact that the Western Australian coalition considered this their most urgent topic. The media reported it as the most urgent topic that was considered at the recent coalition conference in Western Australia.
A very large percentage of people in Western Australia, again and again, when asked, have said that this is a very important issue. A growing number of people on all sides of politics in Western Australia believe that it is time for people to put aside politics and the old prejudices and do something for the future of Western Australian forests and for the future of conservation and the sustainability of jobs.
I believe the Western Australian Labor Party are thinking of putting together a committee to look at the issue. They are saying that industry and all stakeholders should be involved in assessing the situation. Unfortunately, they didn't qualify what industry they meant. Perhaps we need to remind the Labor Party that there are other industries apart from the timber industry, but let us not judge them too harshly before that comes around.
What we don't know yet in Western Australia is what the actions of the Labor Party will be. We do know what the National Party have said. We know what the Greens and the Democrats have said in Western Australia. We are not quite sure of the ALP, but we do know that enabling legislation has gone 
 through already in the House of Representatives and was voted on by the Labor Party.
You can understand why the ALP are not wanting to consider this urgent. They are squirming because they have a huge number of constituents in Western Australia who want them to take a responsible position. Yet their federal party cannot see fit to support their Western Australian party. I can understand why the urgency of this is concerning the ALP in Canberra. I can see why people from other parts of Australia, including Tasmania, might be concerned about the pressure that has been put on their own party, as we speak, in Western Australia; the pressure has been put on all parties to put down their prejudices and come to the table and work out what is the way of the future for this industry. If we continue to put it off, the destruction will continue. If we continue to put it off, it will be in the state election the biggest issue we have seen for some time.
From the Greens' point of view, that might be to our benefit. However, that is not the way we want things to go. We want a sensible approach, a sensible outcome, and it is urgent. It is urgent because as we speak a number of areas which have been considered as high conservation value are being cut down by a department which has an in-built conflict of interest. I have to congratulate the National Party on taking a stance in Western Australia on old growth forest, but there is also another area of congratulation in Western Australia. The Labor Party have asked that the Department of Conservation and Land Management be separated; that the conservation and forestry functions be separated. That is commonsense.
At the moment, we have the National Party in Western Australia calling for a separation. We also have the Greens and I think the Democrats in Western Australia calling for a separation. The one big gap in Western Australia on that issue is the Liberal Party. But we are getting daily more and more people coming from the Liberal Party, longstanding members of the Liberal Party in Western Australia, who are asking their own party to get real. (Time expired)
	 Question put:
	 That the motion (Senator Brown's ) be agreed to.",SENATE,<title>REGIONAL FOREST AGREEMENTS</title>,<title>Suspension of Standing Orders</title>,Miscellaneous,5,1,speech
"Lundy, Sen Kate",ALP,1999-02-18,"—I seek leave to return to order of business item No. 4 for the purposes of giving a notice of motion.
Leave granted.
—I give notice that, on the next day of meeting, I shall move:
That the Senate calls on:
(a)	 the Federal Government to reaffirm its commitment to addressing the significant concerns of youth suicide by reinstating the National Youth Suicide Prevention Strategy; and
(b)	 the Departments of Education, Training and Youth Affairs, Health and Aged Care and Family and Community Services to investigate specific youth strategies aimed at the 15- to 24-year old age group and, in particular, strategies for indigenous youth.",SENATE,<title>NOTICES</title>,<title>Presentation</title>,Notices,7,1,speech
"Woodley, Sen John",AD,1999-02-18,"—I present the report of the Rural and Regional Affairs and Transport References Committee on the committee's decision not to readopt certain references on Landcare policies and programs referred to the committee during the previous two parliaments.
—I seek leave to have the report incorporated in Hansard .
Leave granted.
The report read as follows—
SENATE STANDING COMMITTEE ON RURAL AND REGIONAL AFFAIRS
LANDCARE POLICIES AND PROGRAMS
REPORT
Madam President, the review of Landcare policies and programs was originally referred to the Rural and Regional Affairs and Transport References Committee in December 1993. Senators may recall that Landcare is not a government program, but is more accurately described as a community based voluntary program supported, encouraged and influenced by a number of Commonwealth and State Government programs.
While Landcare enjoyed a high level of initial success, the committee identified the emergence of some problems and the existence of a degree of frustration among landholders and Landcare groups, principally as a result of:
.	 The inability of landholders to obtain funding for on-ground works under the then guidelines;
.	 The possible low value of further demonstration projects;
.	 Economic constraints attributable to the rural recession;
.	 Issues were beyond the capacity of individual groups; and
.	 Commonwealth State funding arrangements.
In the 37th parliament, the Committee made a detailed and thorough investigation of a wide range of issues relevant to the delivery of Landcare programs in Australia. In 1996, the Committee tabled an interim report, which highlighted anticipated changes to the delivery of Landcare programs. In 1997, the Committee held a detailed inquiry into that changed system of delivery.
However, for a number of reasons it is no longer appropriate for the Committee to produce a final report—intervening elections, the committee's intensive involvement in other inquiries referred to it by the Senate, which assumed a greater degree of urgency, and recent changes to the funding arrangements for Landcare programs, including the introduction of the National Heritage Trust, have all meant that the inquiry has lost some of its relevance and topicality.
The new arrangements put in place by the Government are a significant reason for not pursuing the inquiry at this time. The establishment of the National Heritage Trust, a capital funding base for a number of programs, including Landcare, may 
 address some of the problems initially identified in the committee's interim report.
An assessment of the operation of the National Heritage Trust and its funding of a range of programs, including Coastcare, Landcare and Waterwatch may be appropriate once the arrangements have been in place for a significant period of time. However, at this point, the Committee feels that an assessment would be premature and would prefer to give the Trust time to demonstrate its efficacy.
Given the committee's current inquiry schedule and particularly its major inquiry into access to services by rural and regional communities, the committee feels there is little to be gained by any further work on the Landcare inquiry at this time.
I believe that the most effective use of scarce committee resources requires the committee to discontinue the inquiry into Landcare and concentrate its efforts elsewhere. I would however like to place on record my thanks to the previous Chairman of the Committee, Senator David Brownhill and to previous committee members and staff, all of whom have put such a lot of time and effort into gathering evidence for the inquiry and to those people and organisations who gave evidence or made submissions to the inquiry.
16 February, 1999
—I seek leave to move a motion in relation to the report.
Leave granted.
—I move:
That the report be adopted.
I wanted to remind the Senate that the Landcare program was originally the brainchild, if you like, of the NFF's Rick Farley and the ACF's Phillip Toyne. I think the program has been a very significant social movement and has made an environmental contribution to this country. The program is certainly far from over. But one of the issues that the committee has to deal with is the significant change in policy that has occurred under this government. We will continue to monitor that program, but it is not possible to monitor it under the current terms of reference. So that is the reason for the report I am presenting today.
Question resolved in the affirmative.",SENATE,<title>COMMITTEES</title>,<title>Rural and Regional Affairs and Transport References Committee</title>,Committees,10,1,speech
"Woodley, Sen John",AD,1999-02-18,"—I present the report of the Rural and Regional Affairs and Transport References Committee on the committee's decision not to readopt certain references on Landcare policies and programs referred to the committee during the previous two parliaments.
—I seek leave to have the report incorporated in Hansard .
Leave granted.
The report read as follows—
SENATE STANDING COMMITTEE ON RURAL AND REGIONAL AFFAIRS
LANDCARE POLICIES AND PROGRAMS
REPORT
Madam President, the review of Landcare policies and programs was originally referred to the Rural and Regional Affairs and Transport References Committee in December 1993. Senators may recall that Landcare is not a government program, but is more accurately described as a community based voluntary program supported, encouraged and influenced by a number of Commonwealth and State Government programs.
While Landcare enjoyed a high level of initial success, the committee identified the emergence of some problems and the existence of a degree of frustration among landholders and Landcare groups, principally as a result of:
.	 The inability of landholders to obtain funding for on-ground works under the then guidelines;
.	 The possible low value of further demonstration projects;
.	 Economic constraints attributable to the rural recession;
.	 Issues were beyond the capacity of individual groups; and
.	 Commonwealth State funding arrangements.
In the 37th parliament, the Committee made a detailed and thorough investigation of a wide range of issues relevant to the delivery of Landcare programs in Australia. In 1996, the Committee tabled an interim report, which highlighted anticipated changes to the delivery of Landcare programs. In 1997, the Committee held a detailed inquiry into that changed system of delivery.
However, for a number of reasons it is no longer appropriate for the Committee to produce a final report—intervening elections, the committee's intensive involvement in other inquiries referred to it by the Senate, which assumed a greater degree of urgency, and recent changes to the funding arrangements for Landcare programs, including the introduction of the National Heritage Trust, have all meant that the inquiry has lost some of its relevance and topicality.
The new arrangements put in place by the Government are a significant reason for not pursuing the inquiry at this time. The establishment of the National Heritage Trust, a capital funding base for a number of programs, including Landcare, may 
 address some of the problems initially identified in the committee's interim report.
An assessment of the operation of the National Heritage Trust and its funding of a range of programs, including Coastcare, Landcare and Waterwatch may be appropriate once the arrangements have been in place for a significant period of time. However, at this point, the Committee feels that an assessment would be premature and would prefer to give the Trust time to demonstrate its efficacy.
Given the committee's current inquiry schedule and particularly its major inquiry into access to services by rural and regional communities, the committee feels there is little to be gained by any further work on the Landcare inquiry at this time.
I believe that the most effective use of scarce committee resources requires the committee to discontinue the inquiry into Landcare and concentrate its efforts elsewhere. I would however like to place on record my thanks to the previous Chairman of the Committee, Senator David Brownhill and to previous committee members and staff, all of whom have put such a lot of time and effort into gathering evidence for the inquiry and to those people and organisations who gave evidence or made submissions to the inquiry.
16 February, 1999
—I seek leave to move a motion in relation to the report.
Leave granted.
—I move:
That the report be adopted.
I wanted to remind the Senate that the Landcare program was originally the brainchild, if you like, of the NFF's Rick Farley and the ACF's Phillip Toyne. I think the program has been a very significant social movement and has made an environmental contribution to this country. The program is certainly far from over. But one of the issues that the committee has to deal with is the significant change in policy that has occurred under this government. We will continue to monitor that program, but it is not possible to monitor it under the current terms of reference. So that is the reason for the report I am presenting today.
Question resolved in the affirmative.",SENATE,<title>COMMITTEES</title>,<title>Report</title>,Committees,10,2,speech
The CHAIRMAN,N/A,1999-02-18,"—The committee is considering the Electoral and Referendum Amendment Bill (No. 2) 1998 as amended and amendments moved by the Leader of the Opposition in the Senate, Senator Faulkner. They are amendment Nos 5 and 6 on sheet 1231 and No. R4 on sheet 1244. The question is that the amendments be agreed to.",SENATE,<title>ELECTORAL AND REFERENDUM AMENDMENT BILL (No. 2) 1998</title>,<title>In Committee</title>,Bills,13,1,speech
