name,party,date,text,chamber,debate_title,subdebate_title,debate_type,debate_id,subdebate_id,type,name_id,speech_id
"Barnett, Sen Guy",LP,2002-12-02,"—by leave—I request that consideration of these amendments be held over until such time as we can deal with the disallowance motion to be moved by Senator Collins. If we can sort through that particular matter, we can then come back to the consideration of the proper consent provisions. I think that dealing with these amendments further down the list is one way of saving time.
 (Senator Cherry)—Do you want to move that consideration of the amendments be postponed?
—Yes. I move:
That further consideration of the amendments be postponed.
Question agreed to.",SENATE,<title>RESEARCH INVOLVING EMBRYOS BILL 2002</title>,<title>In Committee</title>,Bills,0,1,speech,00AUF,
"Hogg, Sen John",ALP,2002-12-02,"—I move amendment (1) on sheet 2720:
(1)	Clause 9, page 8 (lines 1 to 4), omit paragraph (a), substitute:
	(a)	each such person has given written authority for the use of the human embryo for the sole purpose of harvesting the human embryonic stem cells consistent with the matters contained in paragraph 21(4)(b) and other than a purpose relating to ART treatment of the woman concerned, and the authority is in force at that time; or
The amendment proposes to change clause 9(2)(a) on the meaning of excess ART embryo on page 8 of the Research Involving Embryos Bill 2002. The specific changes are, firstly, to insert before the word `embryo' the word `human' so that we are dealing with a human embryo and, secondly, to replace the word `purpose' with the phrase `sole purpose of harvesting the human embryonic stem cells consistent with the matters contained in paragraph 21(4)(b)'. Paragraph (b) of clause 21(4) goes to the issue of licensing. In relation to the licensing system, division 4, 21(4)(b) states:
... the NHMRC Licensing Committee must have regard to the following:
(b)	the likelihood of significant advance in knowledge, or improvement in technologies for treatment, as a result of the use of excess ART embryos proposed in the application, which could not reasonably be achieved by other means ...
The reason for my putting this amendment up in the first instance is that I believe the bill should reflect in its entirety the COAG agreement. I believe that the COAG agreement was specifically based on the issue of embryonic stem cells. If one changes clause 9 to read as I propose, it then relates to a specific use of embryonic stem cells as opposed to any other purpose that ART embryos may be considered for. That was never the purpose in the first instance of the COAG agreement. The COAG agreement was made in this area principally on the issue of surplus IVF embryos being made available for embryonic stem cell research and not for any other purpose. There was nothing in the debate that led to the COAG agreement or the debate that led to the bills that are now before this chamber, save for the Andrews report and the Senate Community Affairs Legislation Committee report, which mentioned the issue of excess ART embryos and their purpose—and their purpose being not other than for implantation but for research purposes. Those research purposes were for embryonic stem cells and not for a raft of other purposes which became obvious in the inquiry before the Senate Community Affairs Legislation Committee.
I will refer specifically to evidence cited in Senator Harradine's report to the Senate Community Affairs Legislation Committee. In Senator Harradine's additional comments, he made reference to evidence given by Dr Morris of the NHMRC. Senator Harradine referred to the additional matters that now seem to be taken into account when one is considering the use of the excess ART embryos. These excess ART embryos, as I said in my speech in the second reading debate, were created in the first instance for the purpose of IVF. They were created for the purpose of the creation of life in a set of circumstances where a couple was unable to produce offspring. Whether one agrees with that or not, that was the stated purpose for which the IVF program was put in place. The IVF program was not put into place for other purposes, such as producing a by-product which can then be used in medical research. Whilst I am opposed to the bill, it looks as though, based on the numbers in this place, it is going to get up. In that case, one must look at using the excess ART embryos for the stated purpose, as I believe it was originally intended—and that was as a source of embryonic stem cells. On page 192 of the report of the Senate Community Affairs Legislation Committee, Senator Harradine outlined, from the evidence given by Dr Morris, a range of other issues which were to be considered for the use of these embryos: 
The range of embryo research permitted by the Bill includes using human embryos to examine the effectiveness of new culture media used in assisted reproductive technology (ART) practice, to assist in understanding embryonic development and fertilisation, training clinicians in microsurgical ART techniques, transport, observation and storage of embryos, micromanipulation, lasering, cutting and dissecting, studies in genetic makeup and expression, quality assurance testing to ensure that pre-implantation diagnostic tests give accurate results, drug testing including toxicology studies on human embryos as well as the destructive extraction of embryonic stem cells.
That far exceeds the original proposal, as one understood from the debate surrounding the COAG agreement. Whilst this debate gets to the use of those excess ART embryos, one does not want to see that it is just going to be open slather, allowing these embryos to be used in a whole range of research areas that were not necessarily even advocated, or actively advocated, when this debate was taking place. One only needs to turn to the COAG communique itself and one will find that reference is made strongly to the issue of stem cell research—the focus not being on anything else other than human embryonic stem cell research. If one looks at paragraphs 6 to 8 of the communique, in the appendix to the report, one finds this:
6. The following principles should underpin nationally-consistent legislation:
6.1 legislation should ensure appropriate ethical oversight of research involving embryos based on nationally-consistent standards ...
So we are looking to nationally consistent standards for the research on these embryos. The communique goes on to say:
6.2 the nationally-consistent standards should be clear, detailed and describe the ethical issues to be taken into account, research which may be permitted and the conditions upon which it may be permitted ...
Given the way the current clause 9(2)(a) is framed, there could be a wide range of purposes for which the excess ART embryos could be used. That is the last thing that one would want to countenance, as far as I am concerned. I believe that clearly the issue was included for there to be a consistent approach, an approach for research. Whilst I do not necessarily subscribe to the research myself, the research would take place on the excess ART embryos. We will come to the issue of the limited number of excess ART embryos later on in this debate. The communique says, at paragraph 8:
Research with existing stem cell lines will be permitted ...
It goes on to say, at paragraph 10:
The ban on the development of embryos for purposes other than for assisted reproduction will be maintained and reviewed within three years taking into account the implications for therapeutic use of embryonic stem cells (as detailed in the Health Ministers' report, Chapter 4).
I am seeking with my amendment simply to ensure that there is the proper focus of the COAG agreement. The minister may well tell me that all of these other things are going to be excluded. But, from what I have read and heard, I do not believe that that is the case. I believe that there is a real necessity to ensure that the sole purpose, as I state in my amendment, is for the harvesting of human embryonic stem cells consistent with matters contained in paragraph 21(4)(b), where there is a real chance and a significant likelihood that there will be an advance made as a result of the research. In other words, I am not about stopping the research; I want to see a proper definition put in place which will ensure the respect and the dignity that is appropriate to the excess ART embryos. I commend the amendment to the Senate. ",SENATE,<title>RESEARCH INVOLVING EMBRYOS BILL 2002</title>,<title>In Committee</title>,Bills,0,1,speech,7L6,
"Nettle, Sen Kerry",AG,2002-12-02,"—I have a question for Senator Hogg. I am sorry if you answered the question in your explanation of the amendment. On the second part of your amendment, where you say `and other than a purpose relating to ART treatment of the woman concerned', I wanted to ask whether you thought that your amendment, as is, facilitated the possibility of using embryonic stem cells for improving ART technology in itself other than for a purpose specifically related to the woman concerned, as is written in your amendment?",SENATE,<title>RESEARCH INVOLVING EMBRYOS BILL 2002</title>,<title>In Committee</title>,Bills,0,1,speech,00AOR,
"Hogg, Sen John",ALP,2002-12-02,"—I did not give that a great deal of thought when I put the amendment together. As you can see, in framing the amendment all I did was insert the word `human' in front of `embryo'; and then, in the existing proposal in the bill, instead of the word `purpose', the words that I included were the words from `sole' down to `21(4)(b) and'. So I tried not to disturb the intent that was there previously, but I tried to focus more on the issue that the excess ART embryos were for the purpose of embryonic stem cell research as opposed to necessarily a wider, more far-ranging group of other research activities that might take place—because I think that was the basic focus of this bill and the intent of that particular part of the bill.",SENATE,<title>RESEARCH INVOLVING EMBRYOS BILL 2002</title>,<title>In Committee</title>,Bills,0,1,speech,7L6,
"Stott Despoja, Sen Natasha",AD,2002-12-02,"—I rise on behalf of all the Democrats to say that we will be opposing the amendment before us, which seeks to limit the use of excess ART embryos to deriving embryonic stem cells. For the information of the chamber—and because I suspect we are hoping to facilitate debate today, with so many amendments—out of courtesy I thought I would inform the chamber of what we are doing in most cases. I would similarly inform Senator Barnett, who has an amendment—I think it is amendment No. 5—which attempts something similar, that we will also be opposing that amendment.
Based on Senator Hogg's comments to the chamber, but also perhaps on broader debate on this issue, I suspect that this amendment is intended to reflect a claim that has been made in a number of submissions—and certainly in a number of submissions to the Senate Community Affairs Legislation Committee inquiry into this legislation—that the legislation went further than the intention of COAG. One of the reasons that has been put forward to support this view is the belief that COAG was only dealing with regulating access to embryos for the derivation of embryonic stem cells—but, the argument goes, the legislation is much broader than that, because it allows training, quality assurance, testing of culture media and so forth. The legislation does say that it is illegal for anyone to use any excess ART embryos unless they have a licence or unless it is an exempt activity. The real strength of this approach is that it seeks to avoid any loopholes and it treats all possible uses in an even-handed manner. This is one of the strengths of the legislation and something that we have certainly recognised before. The strength of this legislation is that it treats the uses of excess ART embryos even-handedly.
In a supplementary report prepared by Senator Webber, Senator McLucas and me, we have outlined in some detail that we believe that the bill is quite consistent with COAG, because there is nothing in the COAG communique that says it is only about embryonic stem cells. Just on that point, I note that, in Senator Hogg's comments—and I am happy to be corrected—he talked about the idea that the COAG communique pretty much deals only with embryonic stem cells. If you refer to the communique—and certainly, in the committee report, we have done that—and particularly points 5 and 6, you will recognise that, indeed, it is broader than just dealing with the issue of embryos for the derivation of stem cells. That is covered in relation to point 8. The derivation of embryonic stem cells is clearly discussed as one element in a general approach. 
The amendment before us would effectively ban all research other than for the derivation of stem cells, including research that is non-destructive. It would also have a particularly negative impact on the IVF practice, because it potentially bans legitimate and longstanding research, quality assurance and training that involves the use of excess ART embryos donated by couples. For these reasons, the amendment is not supported.",SENATE,<title>RESEARCH INVOLVING EMBRYOS BILL 2002</title>,<title>In Committee</title>,Bills,0,1,speech,3I6,
"Patterson, Sen Kay",LP,2002-12-02,"—I thank Senator Stott Despoja for her brevity. The amendment seeks to confine permission to use excess ART embryos to the derivation of stem cells. COAG made no distinction between different types of research on excess ART embryos and it did not place restrictions on the types of research for which a licence may be sought. While the legislation does not limit the types of research for which a licence may be sought, it does include safeguards to ensure that trivial or inappropriate research involving embryos does not occur—that is, each application is to be considered and approved or rejected on its own merits.
This amendment would prevent couples from donating their excess ART embryos to IVF related research. Many couples want to donate their excess ART embryos for this type of research, in order to help other infertile couples to become pregnant. While the legislation does not limit the types of research for which a licence may be sought, it does include safeguards to ensure that trivial or inappropriate research involving embryos does not occur and that any application to undertake research involving excess ART embryos must be considered and approved by the Human Research Ethics Committee, according to a range of criteria set out in the NHMRC guidelines.
A similar amendment was moved in the lower house and was defeated. The bill that is now before this chamber and has been passed by the House of Representatives is nationally consistent with the approach determined by COAG. It ensures appropriate ethical oversight, sets out clear standards underpinned by NHMRC guidelines, will be applied consistently throughout Australia, provides for public reporting and appropriately monitors compliance. All of those are outlined in the COAG communique at paragraph 6—6.1 to 6.5—as partially read out by Senator Hogg. I indicate that those who are supporting the bill will not be supporting this amendment.",SENATE,<title>RESEARCH INVOLVING EMBRYOS BILL 2002</title>,<title>In Committee</title>,Bills,0,1,speech,LI4,
"Evans, Sen Chris",ALP,2002-12-02,"—On behalf of the formal Labor position, I indicate that we will be opposing the amendment for the same reasons as outlined by Senator Patterson and Senator Stott Despoja. I want to remind the chamber and anyone listening that in putting the official—
—There is no-one listening.
—I am always surprised about how many people actually do listen.
—We are not on air. They can read it.
—I know. They read and follow the debates very closely, as I found out when I was doing my shopping on Saturday morning, when someone bailed me up!
—You're a SNAG, are you?
—I was shopping for my seven-year-old's birthday party that afternoon. I was after Chupa Chups and whipping cream. Let's get back to the subject—
—And fairy bread?
—Yes, fairy bread—which was for me, not for the seven-year-olds! Returning to more serious matters, the Labor Party has a position in this debate where we will put a view on most amendments on behalf of the Australian Labor Party, but all Australian Labor Party senators will be allowed to exercise a conscience vote. I want to make that clear. But the formal position of the Labor Party is to oppose this amendment.",SENATE,<title>RESEARCH INVOLVING EMBRYOS BILL 2002</title>,<title>In Committee</title>,Bills,0,1,speech,AX5,
"Hogg, Sen John",ALP,2002-12-02,"—I am not going to drag this out; I know where the numbers lie on the issue. I obviously believe the point that I have put is correct—that is, quite contrary to what Senator Stott Despoja said, I do not think this is seeking to limit the use of excess ART embryos to responsible research. To me, it seems quite reasonable that this be done on the basis of where the argument came from. The argument originally arose out of the issue of using adult stem cell research to help to cure people's diseases versus the issue of embryonic stem cells. If anyone is under any illusion, the debate certainly did not reach any great depths or go to any great heights on the issue of excess ART embryos for other purposes. If there was a debate on that at all, it was a very silent debate; a debate in which few, if any, took part. The focus of the debate in this nation since the debate emerged has clearly been on the issue of whether embryonic stem cell research is better than adult stem cell or other forms of what I would think are responsible research. Having gone down that path, the whole COAG process involved people standing up and singing the virtues of embryonic stem cell research versus the advantages of using adult stem cell and other kindred forms of research. 
Whilst there have been undertakings stated by the minister in her response to me today—and I believe the minister is sincere in giving those undertakings—one must be a little sceptical about how this debate will evolve in years down the track. When people look back at this debate and say that it was a wide-ranging debate, that will seem to be true, but people will have lost sight of the original stimulus for this debate taking place in the first instance in this nation—that is, it was clearly a debate on embryonic stem cells versus adult stem cells, in particular.
Whilst I concede that the minister quite rightly said that I did read only two of the sections of paragraph 6 of the COAG communique, I did not mean to mislead. There is no doubt that the issue is raised there of research involving human embryos. It talks, as I said, of nationally consistent legislation being desired and that there should be an appropriate ethical oversight and that the standards should be clear. The communique also said:
6.3 these national standards should be applied consistently throughout Australia, recognising that jurisdictions may use different mechanisms to establish that proposals comply with the national standards;
6.4 the system should provide for public reporting of research involving embryos so as to improve transparency and accountability to the public; and
6.5 the system should enable appropriate monitoring of compliance with national standards and provide legislated penalties for non-compliance.
I understand that we are going to do the bulk of that in the rest of this legislation, but it seems to me that, if we do not have the focus of the legislation correct in the first instance, certainly the purpose of the legislation will become broader and broader as time goes on. People often talk of the slippery slope, and it is my view that on this particular piece of legislation we are there already. As I said, the evidence contained in Senator Harradine's additional comments to the Senate Community Affairs Legislation Committee's report clearly outlines a vast range of uses, as seen by Dr Morris of the NHMRC, that one would not have ever even speculated on out there in the public when this broader debate took place. Chair, without using up more time in this valuable debate, I commend the amendment to the Senate. Whilst I do not think the numbers are there, I believe this is a just and proper amendment that should be moved at this time.
 (Senator Cherry)—The question is that amendment (1) on sheet 2720 moved by Senator Hogg be agreed to.
Question negatived.",SENATE,<title>RESEARCH INVOLVING EMBRYOS BILL 2002</title>,<title>In Committee</title>,Bills,0,1,speech,7L6,
"Collins, Sen Jacinta",ALP,2002-12-02,"—I seek leave to move together amendments (1) and (2) standing in my name on sheet 2693.
—Is leave granted?",SENATE,<title>RESEARCH INVOLVING EMBRYOS BILL 2002</title>,<title>In Committee</title>,Bills,0,1,speech,GB6,
"Harradine, Sen Brian",IND,2002-12-02,"—Before we grant leave, could I see where we are at? Senator Hogg has a second amendment on sheet 2720.
—No, we are up to amendments (1) and (2) on sheet 2693 to be moved by Senator Collins. She is seeking leave to move amendments (1) and (2) together. 
—Have we finished clause 10?
—No, we are in the middle of clause 10.",SENATE,<title>RESEARCH INVOLVING EMBRYOS BILL 2002</title>,<title>In Committee</title>,Bills,0,1,speech,6H4,
