name,party,date,text,chamber,debate_title,subdebate_title,debate_type,debate_id,subdebate_id
"Xenophon, Sen Nick",IND,2009-06-17,"—I move amendment (2) standing in my name on sheet 5829 to the Fair Work (Transitional Provisions and Consequential Amendments) Bill 2009:
(2)    Schedule 5, item 2, page 58 (after line 23), at the end of subitem (5), add:
    ; and (c)    the likely effects on the relevant industry or industry sector of any modern award that the Commission is considering, or is proposing to make, including on productivity, labour costs and the regulatory burden on businesses.
This amendment relates to award modernisation. I alluded to this amendment last night. When Senator Abetz moved the coalition’s amendment I indicated that I could not support that because I believed that an alternative approach would be better in relation to considering the various issues that are of concern to the coalition and, indeed, to the government.
This amendment would also require the AIRC to consider the likely effects on the relevant industry or industry sector of any modern award that the commission is considering or is proposing to make, including on productivity, labour costs and the regulatory burden on business. I think that covers all those issues of concern that the coalition considered but in a way that is consistent with parts A and B of the clause. This is about taking into account, for instance, the concerns of the horticulture industry. It provides additional guidance in relation to conditions that should be considered in the transition on to modern awards. In relation to horticulture, for instance, my office has had extensive discussions and I have had discussions with the SA Riverland horticulture industry and this amendment, I think, would fairly take into account the concerns of the industry whilst protecting the interests of workers in that industry. I urge my colleagues to support this amendment. I think it would take up some of the concerns of the coalition but in a way that is entirely consistent with the structure of the current legislation.",SENATE,<title>FAIR WORK (STATE REFERRAL AND CONSEQUENTIAL AND OTHER AMENDMENTS) BILL 2009</title>,<title>In Committee</title>,Bills,1,1
"Arbib, Sen Mark",ALP,2009-06-17,"—The government notes that Senator Xenophon’s amendment is largely covered by factors that are already included in part 10A of the Workplace Relations Act 1996, which is being preserved by the bill. The language in the amendment is also consistent with the provisions in section 134 of the Fair Work Act, ‘The modern awards objective’. Therefore the government has no objection to the passage of this amendment.",SENATE,<title>FAIR WORK (STATE REFERRAL AND CONSEQUENTIAL AND OTHER AMENDMENTS) BILL 2009</title>,<title>In Committee</title>,Bills,1,1
"Abetz, Sen Eric",LP,2009-06-17,"—We had a discussion on this last evening. My contribution to that might have been described as, in effect, a cognate debate on these two matters. I indicated the coalition’s position: we thought our amendments were better. Senator Xenophon did not see his way clear to agreeing. The minister said only last night that he could not find his way clear to supporting us, and I have a funny feeling that, despite being given the benefit of a new morning, he has not changed his mind overnight. In the circumstances, we say of Senator Xenophon’s amendment: we are not sure that it is going to do any good, in reality, but it definitely will not do any harm and, as a result, we are happy to support it.",SENATE,<title>FAIR WORK (STATE REFERRAL AND CONSEQUENTIAL AND OTHER AMENDMENTS) BILL 2009</title>,<title>In Committee</title>,Bills,1,1
"Siewert, Sen Rachel",AG,2009-06-17,"—The Greens are not inclined to support this amendment, in fact, for the reasons that the government articulated. We think the concerns that Senator Xenophon has raised and the issues that this amendment addresses are already covered in the legislation, so we are not inclined to support the amendment.",SENATE,<title>FAIR WORK (STATE REFERRAL AND CONSEQUENTIAL AND OTHER AMENDMENTS) BILL 2009</title>,<title>In Committee</title>,Bills,1,1
"Xenophon, Sen Nick",IND,2009-06-17,"—I just want to take issue with Senator Abetz saying that he does not think this will do much good. The coalition amendment moved last night and voted on this morning talked about issues of profitability to be taken into account—I take it that that is correct. This amendment takes into account issues of productivity, labour costs and the regulatory burden on businesses. With respect to Senator Abetz, I think it covers broader grounds and it encompasses the concerns of the coalition. As Senator Arbib, the Minister for Employment Participation, said, it is already reflected in part in other parts of the legislation. But by putting it here, fairly and squarely, it is a matter that must be considered in the award modernisation and the transition process.",SENATE,<title>FAIR WORK (STATE REFERRAL AND CONSEQUENTIAL AND OTHER AMENDMENTS) BILL 2009</title>,<title>In Committee</title>,Bills,1,1
"Abetz, Sen Eric",LP,2009-06-17,"—I do not want to delay the debate too long, but I am astounded that the good Senator Xenophon tells us this morning that his amendment in fact covers broader grounds, because I thought last night the argument against our amendment was that it went too far and his was cast more narrowly and was therefore more acceptable to the government. It is amazing what a good night’s sleep can do to us in the Senate chamber! Senator Xenophon, you have not convinced me with your logic, but you still have my vote.
Question agreed to.",SENATE,<title>FAIR WORK (STATE REFERRAL AND CONSEQUENTIAL AND OTHER AMENDMENTS) BILL 2009</title>,<title>In Committee</title>,Bills,1,1
"Abetz, Sen Eric",LP,2009-06-17,"—I move opposition amendment (4) on sheet 5817 to the Fair Work (Transitional Provisions and Consequential Amendments) Bill 2009:
(4)    Schedule 5, page 66 (after line 11), at the end of the Schedule, add:
Part 4—Relief from increased labour costs
14  Part 10A award modernisation process is not intended to result in an increase in labour costs
(1)    The Part 10A award modernisation process is not intended to result in an increase in labour costs for employers.
(2)    An employer’s labour costs in respect of an employee or outworker is the actual cost to the employer to employ the employee or engage the outworker:
              (a)    including wages and incentive-based payments, and additional amounts such as allowances and overtime; and
              (b)    disregarding the effect of any deductions that are made as permitted by section 324 of the FW Act.
Note:                Deductions permitted by section 324 of the FW Act may (for example) include deductions under salary sacrificing arrangements.
(3)    An employer suffers a modernisation-related increase in labour costs in respect to any employee or outworker if, and only if:
              (a)    a modern award made in the Part 10A award modernisation process starts to apply to the employer when the award comes into operation; and
              (b)    the employer’s labour costs are higher after the modern award comes into operation than the employer’s labour costs were immediately before the modern award came into operation; and
              (c)    the increase in labour costs is attributable to the Part 10A award modernisation process.
15  Orders remedying an increase in labour costs
(1)    If FWA is satisfied that an employer, or a class of employers, to whom a modern award applies has suffered a modernisation-related increase in labour costs, FWA may make an order (a relief from increased labour costs order) varying particular terms of the modern award as they relate to the employer or the class of employers that FWA considers appropriate to remedy the situation.
(2)    FWA may make a relief from increased labour costs order on application by:
              (a)    an employer who has suffered a modernisation-related increase in labour costs; or
              (b)    an organisation that is entitled to represent the industrial interests of such employer.
(3)    FWA must not make a relief from increased labour costs order in relation to an employer or a class of employers if:
              (a)    FWA considers that the modernisation-related increase in labour costs is minor or insignificant; or
              (b)    FWA is satisfied that the employer or employers have been adequately compensated in other ways for the increase, such as through increased productivity or flexibility.
(4)    FWA must ensure that a relief from increased labour costs order is expressed so that it does not apply to an employer unless the employer has actually suffered a modernisation-related increase in labour costs.
16  Relief from increased labour costs order continues to have effect as long as modern award continues to cover the employer or employers
A relief from increased labour costs order in relation to an employer or a class of employers to whom a particular modern award applies continues to have effect (subject to the terms of the order) for so long as the modern award continues to cover the employer or employers, even if it stops applying to the employer or employers because an enterprise agreement starts to apply.
17  Inconsistency with modern awards and enterprise agreements
A term of a modern award or an enterprise agreement has no effect in relation to an employer to the extent that it is less beneficial to the employer than a term of a relief from increased labour costs order that applies to the employer.
18  Application of provisions of FW Act to relief from increased labour costs orders
The FW Act applies as if the following provisions of that Act included a reference to a relief from increased labour costs order:
              (a)    subsection 675(2);
              (b)    subsection 706(2).
This amendment is to add a part. The amendment seeks to insert a new provision that provides the equivalent employer version of the take-home pay orders outlined in the preceding part of the legislation. The provision recognises and seeks to enshrine a provision within the existing award modernisation request that promises no increase in costs of labour. The provision details what a labour cost may include and describes the circumstances under which an employer may suffer an increase in labour costs related to the transition to a modern award. When Fair Work Australia finds that an employer has suffered a modernisation related increase in labour costs, it is empowered to vary the particular instrument as it applies to that particular employer. Such an order remains in effect while the modern award continues to cover the employer.
I will just indicate how this amendment might work. Where a particular business can demonstrate that it will suffer an increased cost as a result of transitioning to a modern award, it may seek assistance from Fair Work Australia. Fair Work Australia must be satisfied that any costs are due to the operation of the modern award and that no other compensation exists for that increased cost—for example, more flexibility. Fair Work Australia may vary the modern award as it relates to the business in a manner that it deems appropriate. This is similar in nature to the incapacity-to-pay provisions relating to redundancy pay that have previously existed in many awards and other state industrial legislation.
It is expected that this avenue will be rarely used and will therefore not impinge on the universal rollout of common rule federal awards. However, where business viability is jeopardised, an avenue can exist for relief. This allows further relief from increased costs in addition to the five-year default phase-out of state based differences, as will be sought by our amendment (6).",SENATE,<title>FAIR WORK (STATE REFERRAL AND CONSEQUENTIAL AND OTHER AMENDMENTS) BILL 2009</title>,<title>In Committee</title>,Bills,1,1
"Siewert, Sen Rachel",AG,2009-06-17,"—The Greens are opposing this amendment. I am sure that comes as no surprise to the opposition. We think this amendment fundamentally undermines the award modernisation process and, more importantly, the amendment means that employers will never have to provide their employees with the benefits of the new safety net. The requirement for the transition provisions allows for increased costs to be phased in, and we believe that is an adequate measure to take into account the consequences of the award modernisation process for business. Therefore we will not be supporting this amendment.",SENATE,<title>FAIR WORK (STATE REFERRAL AND CONSEQUENTIAL AND OTHER AMENDMENTS) BILL 2009</title>,<title>In Committee</title>,Bills,1,1
"Arbib, Sen Mark",ALP,2009-06-17,"—The government is also opposing the amendment. The government considers that modern award specific transitional arrangements should be developed by the AIRC after consideration of submissions with interested parties. This process is already underway. Initial submissions on transitional arrangements in modern awards were due on 29 May 2009.
The government has made a detailed submission to that proceeding and has requested the commission to deal with transitional provisions in a flexible way that best meets the requirements of the relevant industry or occupation covered by the modern award; to work closely with the parties, as they are best placed to deal with the intricacies of their industry; and to utilise the full five-year phasing-in period in a flexible way—for example, in some industries, a shorter phasing-in period may be appropriate, while in others the commission could even consider deferring transition to certain conditions. The government submission encourages the commission to work closely with the parties to examine any cost impact and to take account of the economic circumstances facing the industry. The submission recognises that the representatives of employers and employees are best placed to develop transitional arrangements that take account of any particular characteristics of their industry or occupation and that balance employer and employee interests.
The opposition has completely ignored the fact that, as well as the five-year phasing-in provision in the award itself, there is already in this bill the capacity for employers to manage their way through exceptional circumstances. Individual employers covered by transitional agreements may apply to Fair Work Australia to phase in any changes to base rates of pay that result from the making of a modern award. They can make the application if it is necessary to ensure the ongoing viability of their business. This is in schedule 9, part 4, clause (14).
Question negatived.",SENATE,<title>FAIR WORK (STATE REFERRAL AND CONSEQUENTIAL AND OTHER AMENDMENTS) BILL 2009</title>,<title>In Committee</title>,Bills,1,1
"Abetz, Sen Eric",LP,2009-06-17,"—The next amendment on the running sheet is in the name of the opposition. Given the singular lack of success that I have been having with opposition amendments, Senator Fisher is going to be moving this one on behalf of the opposition!",SENATE,<title>FAIR WORK (STATE REFERRAL AND CONSEQUENTIAL AND OTHER AMENDMENTS) BILL 2009</title>,<title>In Committee</title>,Bills,1,1
